pokedex_number	Name	type1	type2	abilities	hp	attack	defense	sp_attack	sp_defense	speed	Red	Blue	Blue (Japan)	Yellow	Gold	Silver	Crystal	Ruby	Sapphire	Emerald	FireRed	LeafGreen	Colosseum	XD	Diamond	Pearl	Platinum	HeartGold	SoulSilver	Pal Park	Black	White	Black 2	White 2	X	Y	Omega Ruby	Alpha Sapphire	Sun	Moon	Ultra Sun	Ultra Moon	Let's Go Pikachu	Let's Go Eevee	Sword	Shield	Expansion Pass	Brilliant Diamond	Shining Pearl	Legends: Arceus	Scarlet	Violet
#0011	Metapod	bug		['Shed Skin']	50	20	55	25	25	30	 Route 25, Viridian Forest	 Routes 24 and 25, Viridian Forest	Routes 24 and 25, Viridian Forest	 Viridian Forest	 Routes 2, 30, and 31, Ilex Forest, National ParkMorningDayNational Park (Bug-Catching Contest)TuThSaRoutes 26, 27, 34, 35, 36, 37, 38, and 39, Azalea Town, Ilex Forest, Lake of Rage (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSa	 Routes 24 and 25, Ilex ForestMorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	Trade	Trade	 Trade	Routes 24 and 25, Viridian Forest, Pattern Bush	Routes 24 and 25, Viridian Forest, Pattern Bush	 Trade	 Trade	Eterna Forest (FireRed)	Eterna Forest (FireRed)	 Eterna Forest (FireRed)	 Routes 2, 30, and 31, Ilex Forest, National Park, Viridian ForestMorningDayNational Park (Bug-Catching Contest)TuThSaRoute 47, Ilex Forest (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSa	 Forest	 Trade	 Route 12	 Trade	 Evolve Caterpie	 Evolve Caterpie	 Santalune Forest	Trade	Trade	Routes 1 and 5, Lush Jungle, Melemele Meadow	Routes 1 and 5, Lush Jungle, Melemele Meadow	Route 5, Lush Jungle, Melemele Meadow	Route 5, Lush Jungle, Melemele Meadow	Viridian Forest	Viridian Forest	Rolling FieldsBridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)	Rolling FieldsBridge Field, Dappled Grove, Rolling Fields, South Lake Miloch (Max Raid Battle)		 Evolve Caterpie	 Trade	 Unobtainable	Unobtainable	Unobtainable
#0012	Butterfree	bug	flying	['Compoundeyes', 'Tinted Lens']	60	45	50	90	80	70	Evolve Metapod	Evolve Metapod	Evolve Metapod	 Evolve Metapod	 Route 2MorningNational Park (Bug-Catching Contest)TuThSaRoutes 26, 27, 34, 35, 36, 37, 38, and 39, Azalea Town, Ilex Forest, Lake of Rage (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSa	 Routes 2, 24, and 25MorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	Trade	Trade	 Trade	Evolve Metapod	Evolve Metapod	 Trade	 Cipher Key Lair (Shadow)	Evolve Metapod	Evolve Metapod	 Evolve Metapod	 Route 2MorningDayViridian ForestMorningNational Park (Bug-Catching Contest)TuThSaRoute 47, Ilex Forest (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSa	 Forest	 Trade	 Route 12 (Rustling grass)	 Trade	 Pinwheel Forest (Hidden Grotto)*	Friend Safari (Bug)	Friend Safari (Bug)	Trade	Trade	Route 5, Melemele MeadowRoute 5, Lush Jungle, Melemele Meadow (SOS Battle)	Route 5, Melemele MeadowRoute 5, Lush Jungle, Melemele Meadow (SOS Battle)	Route 5, Melemele MeadowRoute 5, Lush Jungle, Melemele Meadow (SOS Battle)	Route 5, Melemele MeadowRoute 5, Lush Jungle, Melemele Meadow (SOS Battle)	 Viridian Forest	 Evolve Metapod	Slumbering Weald, East Lake Axewell, Giant's Mirror, Rolling FieldsBridge Field, Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields, South Lake Miloch (Max Raid Battle)Rolling Fields (Max Raid Battle) (Gigantamax Factor)	Slumbering Weald, East Lake Axewell, Giant's Mirror, Rolling FieldsBridge Field, Dappled Grove, East Lake Axewell, Giant's Cap, Hammerlocke Hills, Rolling Fields, South Lake Miloch (Max Raid Battle)Rolling Fields (Max Raid Battle) (Gigantamax Factor)	 Max Lair (Dynamax Adventure) (Gigantamax Factor)	 Evolve Metapod	 Trade	 Unobtainable	Unobtainable	Unobtainable
#0013	Weedle	bug	poison	['Shield Dust', 'Run Away']	40	35	30	20	20	50	 Routes 2, 24, and 25, Viridian Forest	 Route 25, Viridian Forest	Route 25, Viridian Forest	 Trade	 National Park (Bug-Catching Contest)TuThSa	 Routes 2, 30, and 31, Ilex Forest, National ParkMorningDayNational Park (Bug-Catching Contest)TuThSaRoutes 26, 27, 34, 35, 36, 37, 38, and 39, Azalea Town, Ilex Forest, Lake of Rage (Headbutt trees)	 Routes 30 and 31, Ilex Forest, National ParkMorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	Trade	Trade	 Trade	Routes 2, 24, and 25, Viridian Forest, Pattern Bush	Routes 2, 24, and 25, Viridian Forest, Pattern Bush	 Trade	 Trade	Route 204 (LeafGreen)	Route 204 (LeafGreen)	 Route 204, Eterna Forest (LeafGreen)	 National Park (Bug-Catching Contest)TuThSa	 Routes 2, 30, and 31, Ilex Forest, National Park, Viridian ForestMorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	 Forest	 Breed Kakuna or Beedrill	 Trade	 Breed Beedrill	 Trade	 Route 2, Santalune Forest	 Santalune Forest	Breed Kakuna or Beedrill	Breed Kakuna or Beedrill	Trade	Trade	Breed Beedrill	Breed Beedrill	Route 2, Viridian Forest	Route 2, Viridian Forest	Unobtainable	Unobtainable		 Trade	 Grand Underground - Spacious Cave, Grassland Cave, Swampy Cave, Riverbank Cave Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)	 Unobtainable	Unobtainable	Unobtainable
#0014	Kakuna	bug	poison	['Shed Skin']	45	25	50	25	25	35	 Routes 24 and 25, Viridian Forest	 Route 25, Viridian Forest	Route 25, Viridian Forest	 Trade	 National Park (Bug-Catching Contest)TuThSa	 Routes 2, 30, and 31, National Park and Ilex ForestMorningDayNational Park (Bug-Catching Contest)TuThSaRoutes 26, 27, 34, 35, 36, 37, 38, and 39, Azalea Town, Ilex Forest, Lake of Rage (Headbutt trees)	 Ilex ForestMorningDayNational Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	Trade	Trade	 Trade	Routes 24 and 25, Viridian Forest, Pattern Bush	Routes 24 and 25, Viridian Forest, Pattern Bush	 Trade	 Trade	Eterna Forest (LeafGreen)	Eterna Forest (LeafGreen)	 Eterna Forest (LeafGreen)	 National Park (Bug-Catching Contest)TuThSa	 Routes 2, 30, and 31, Ilex Forest, National Park, Viridian ForestMorningDayNational Park (Bug-Catching Contest)TuThSaRoute 47, Ilex Forest (Headbutt trees)	 Forest	 Route 12	 Trade	 Evolve Weedle	 Trade	 Santalune Forest, Friend Safari (Poison)	 Friend Safari (Poison)	Safari Zone (hidden Pokémon*)	Safari Zone (hidden Pokémon*)	Trade	Trade	Evolve Weedle	Evolve Weedle	Viridian Forest	Viridian Forest	Unobtainable	Unobtainable		 Trade	 Evolve Weedle	 Unobtainable	Unobtainable	Unobtainable
#0015	Beedrill	bug	poison	['Swarm', 'Sniper']	65	90	40	45	80	75	Evolve Kakuna	Evolve Kakuna	Evolve Kakuna	 Trade	 National Park (Bug-Catching Contest)TuThSa	 Route 2MorningNational Park (Bug-Catching Contest)TuThSaRoutes 26, 27, 34, 35, 36, 37, 38, and 39, Azalea Town, Ilex Forest, Lake of Rage (Headbutt trees)	 National Park (Bug-Catching Contest)TuThSaIlex Forest (Headbutt trees)	Trade	Trade	 Trade	Evolve Kakuna	Evolve Kakuna	 Trade	 Cipher Key Lair (Shadow)	Evolve Kakuna	Evolve Kakuna	 Evolve Kakuna	 National Park (Bug-Catching Contest)TuThSa	 Route 2MorningNightViridian ForestMorningNational Park (Bug-Catching Contest)TuThSaRoute 47, Ilex Forest (Headbutt trees)	 Forest	 Route 12 (rustling grass)	 Trade	 Pinwheel Forest (Hidden Grotto)*	 Trade	Evolve Kakuna	Evolve Kakuna	Evolve Kakuna	Evolve Kakuna	Trade	Trade	Route 4 (Island Scan)Th	Route 4 (Island Scan)Th	 Evolve Kakuna	 Viridian Forest	Unobtainable	Unobtainable		 Trade	 Evolve Kakuna	 Unobtainable	Unobtainable	Unobtainable
#0016	Pidgey	normal	flying	['Keen Eye', 'Tangled Feet', 'Big Pecks']	40	45	40	35	35	56	Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 21, 24, and 25	Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 21, 24, and 25	Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 21, 24, and 25	 Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 21, 24, and 25, Viridian Forest	Routes 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, and 37, National ParkMorningDay	Routes 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, and 37, National ParkMorningDay	 Routes 1, 2, 5, 25, 29, 30, 31, 32, 34, 35, 36, and 37, National Park, Ilex ForestMorningDay	Trade	Trade	 Trade	Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 24, and 25, Bond Bridge, Berry Forest, Five Isle Meadow	Routes 1, 2, 3, 5, 6, 7, 8, 12, 13, 14, 15, 24, and 25, Bond Bridge, Berry Forest, Five Isle Meadow	 Trade	 Trade	Route 229 (Swarm)	Route 229 (Swarm)	 Route 229	Routes 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, and 37, National Park, Viridian ForestMorningDaySafari ZoneMorningDay (Forest, default)	Routes 1, 2, 5, 6, 25, 29, 30, 31, 35, 36, and 37, National Park, Viridian ForestMorningDaySafari ZoneMorningDay (Forest, default)	 Field	 Trade	 White Forest	Trade	Trade	Routes 2 and 3, Friend Safari (Flying)	Routes 2 and 3, Friend Safari (Flying)	Breed Pidgeotto	Breed Pidgeotto	Trade	Trade	Breed Pidgeot	Breed Pidgeot	Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25, Viridian Forest	Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25, Viridian Forest	Unobtainable	Unobtainable		Route 229 (Swarm)	Route 229 (Swarm)	 Unobtainable	Unobtainable	Unobtainable
#0017	Pidgeotto	normal	flying	['Keen Eye', 'Tangled Feet', 'Big Pecks']	63	60	55	50	50	71	Routes 14, 15, and 21	Routes 14, 15, and 21	Routes 14, 15, and 21	 Routes 5, 6, 7, 8, 11, 12, 13, 14, 15, 21, 24, and 25, Viridian Forest	Routes 2, 8, 13, 14, 15, 25, 37, and 43MorningDay	Routes 2, 8, 13, 14, 15, 25, 37, and 43MorningDay	 Route 2DayRoutes 5, 8, 11, 13, 14, 15, 25, 37, 38, 39, and 43MorningDay	Trade	Trade	 Trade	Routes 13, 14, and 15, Bond Bridge, Berry Forest, Five Isle Meadow	Routes 13, 14, and 15, Bond Bridge, Berry Forest, Five Isle Meadow	 Trade	 Cipher Key Lair (Shadow)	Evolve Pidgey	Evolve Pidgey	 Evolve Pidgey	Routes 2, 8, 13, 14, 15, 25, 37, and 43, Viridian Forest	Routes 2, 8, 13, 14, 15, 25, 37, and 43, Viridian Forest	 Field	 Trade	 Evolve Pidgey	Trade	Trade	Evolve Pidgey	Evolve Pidgey	Safari Zone (hidden Pokémon*)	Safari Zone (hidden Pokémon*)	Trade	Trade	Evolve Pidgey	Evolve Pidgey	Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25	Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25	Unobtainable	Unobtainable		Evolve Pidgey	Evolve Pidgey	 Unobtainable	Unobtainable	Unobtainable
#0018	Pidgeot	normal	flying	['Keen Eye', 'Tangled Feet', 'Big Pecks']	83	80	75	70	70	101	Evolve Pidgeotto	Evolve Pidgeotto	Evolve Pidgeotto	 Evolve Pidgeotto	Evolve Pidgeotto	Evolve Pidgeotto	 Evolve Pidgeotto	Trade	Trade	 Trade	Evolve Pidgeotto	Evolve Pidgeotto	 Trade	 Evolve Pidgeotto	Evolve Pidgeotto	Evolve Pidgeotto	 Evolve Pidgeotto	Evolve Pidgeotto	Evolve Pidgeotto	 Field	 Trade, Event	 Evolve Pidgeotto	Trade, Event	Trade, Event	Evolve Pidgeotto	Evolve Pidgeotto	Evolve Pidgeotto	Evolve Pidgeotto	Trade	Trade	Route 10 (Island Scan)Th	Route 10 (Island Scan)Th	Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25	Routes 1, 2, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, and 25	Unobtainable	Unobtainable		Evolve Pidgeotto	Evolve Pidgeotto	 Unobtainable	Unobtainable	Unobtainable
#0019	Rattata	normal		['Run Away', 'Guts', 'Hustle']	30	56	35	25	35	72	Routes 1, 2, 4, 9, 16, 21, and 22	Routes 1, 2, 4, 9, 16, 21, and 22	Routes 1, 2, 4, 9, 16, 21, and 22	 Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 18, 21, and 22, Pokémon Mansion	 Routes 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, 38, 39, and 46, Tin Tower, Mt. Mortar, Union Cave, Tohjo Falls, Sprout Tower and Burned Tower	 Routes 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, and 46, Tin Tower, Mt. Mortar, Union Cave, Tohjo Falls, Sprout Tower and Burned Tower	 Routes 1, 3, 4, 9, 21, 22, 29, 32, 33, 34, 42, and 46, Tin Tower, Mt. Mortar, Union Cave, Tohjo Falls, Sprout Tower and Burned TowerRoutes 6, 7, 11, 38, 39MorningDay	Trade	Trade	 Trade	Routes 1, 2, 4, 9, 16, 17, 18, and 22, Pokémon Mansion	Routes 1, 2, 4, 9, 16, 17, 18, and 22, Pokémon Mansion	 Trade	 Trade	Routes 225 and 226	Routes 225 and 226	 Routes 225 and 226	 Routes 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, 38, 39, and 46, Sprout Tower, Union Cave, Burned Tower, Bell Tower, Mt. Mortar, Tohjo FallsSafari Zone (Plains, defaultMorningDay; Mountain, default)	 Routes 1, 3, 4, 7, 9, 11, 22, 29, 30, 31, 32, 33, 34, and 46, Sprout Tower, Union Cave, Burned Tower, Bell Tower, Mt. Mortar, Tohjo FallsSafari Zone (Plains, defaultMorningDay; Mountain, default)	 Field	Breed Raticate	Breed Raticate	Castelia Sewers, Castelia Park, Relic Passage	Castelia Sewers, Castelia Park, Relic Passage	Trade	Trade	Route 117 (hidden Pokémon*)	Route 117 (hidden Pokémon*)	 Routes 1, 2, 3, 4, 6, 8, Hau'oli City, Kala'e BayNight (Alolan Form)Pokémon Bank (Kantonian Form)	 Routes 1, 2, 3, 4, 6, 8, Hau'oli City, Kala'e BayNight (Alolan Form)Verdant Cavern (Alolan Form) Pokémon Bank (Kantonian Form)	 Routes 1, 2, 4, 6, 8, Kala'e BayNight (Alolan Form)Pokémon Bank (Kantonian Form)	 Routes 1, 2, 4, 6, 8, Kala'e BayNight (Alolan Form)Verdant Cavern (Alolan Form)Pokémon Bank (Kantonian Form)	Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, and 22, Pokémon Mansion (Kantonian Form)Trade Kantonian Rattata in Cerulean City (Alolan Form)	Routes 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 16, 17, 18, 21, and 22, Pokémon Mansion (Kantonian Form)Trade Kantonian Rattata in Cerulean City (Alolan Form)	Unobtainable	Unobtainable		Routes 225 and 226 (Kantonian Form)Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form)Unobtainable (Alolan Form)	Routes 225 and 226 (Kantonian Form)Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form)Unobtainable (Alolan Form)	 Unobtainable	Unobtainable	Unobtainable
#0020	Raticate	normal		['Run Away', 'Guts', 'Hustle']	55	81	60	50	70	97	Routes 16, 17, 18, and 21	Routes 16, 17, 18, and 21	Routes 16, 17, 18, and 21, Cerulean Cave	 Routes 9, 10, 11, 16, 18, and 21, Pokémon Mansion	Routes 9, 10, 26, 27, 38, and 39, Mt. Mortar, Union Cave, Tohjo Falls, Burned Tower	Routes 9, 10, 26, 27, 38, and 39, Mt. Mortar, Union Cave, Tohjo Falls, Burned Tower	 Routes 3, 4, 6, 7, 9, 10, 11, 21, 26, 27, 38, 39, 42, and 43, Mt. Mortar, Union Cave, Tohjo Falls, Burned TowerRoute 1NightRoute 7MorningDay	Trade	Trade	 Trade	Routes 16, 17, and 18, Pokémon Mansion	Routes 16, 17, and 18, Pokémon Mansion	 Trade	 Citadark Isle (Shadow)	Routes 225 and 226	Routes 225 and 226	 Routes 225 and 226	Routes 7, 9, 10, 26, 27, 38, 39, and 47, Mt. Mortar, Union Cave, Burned Tower, Tohjo FallsSafari Zone (Plains, defaultNight; tall grass in Meadow with 5 Plains points; Mountain, defaultMorningDay)	Routes 7, 9, 10, 26, 27, 38, 39, and 47, Mt. Mortar, Union Cave, Burned Tower, Tohjo FallsSafari Zone (Plains, defaultNight; tall grass in Meadow with 5 Plains points; Mountain, defaultMorningDay)	 Field	Dreamyard (dark grass)	Dreamyard (dark grass)	Dreamyard, Strange House, Relic Passage	Dreamyard, Strange House, Relic Passage	Trade	Trade	Route 118 (hidden Pokémon*)	Route 118 (hidden Pokémon*)	Routes 10, 11, 15, 16, 17, Akala Outskirts, Ancient Poni Path, Malie City, Poni Gauntlet, Poni Grove, Poni Plains, Poni Wilds, Tapu VillageNight (Alolan Form) Pokémon Bank (Kantonian Form)	Routes 10, 11, 15, 16, 17, Akala Outskirts, Ancient Poni Path, Malie City, Poni Gauntlet, Poni Grove, Poni Plains, Poni Wilds, Tapu VillageNight (Alolan Form) Pokémon Bank (Kantonian Form)	 Routes 10, 15, 16, 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni PlainsNight (Alolan Form)Route 8Night (SOS Battle) (Alolan Form) Pokémon Bank (Kantonian Form)	 Routes 10, 15, 16, 17, Akala Outskirts, Tapu Village, Mount Lanakila, Poni PlainsNight (Alolan Form)Route 8Night (SOS Battle) (Alolan Form)Received from Samson Oak at Heahea Beach* (Totem-sized) (Alolan Form) Pokémon Bank (Kantonian Form)	Routes 7, 8, 9, 10, 11, 16, 17, 18 and 21, Pokémon Mansion (Kantonian Form)Evolve Rattata (Alolan Form)	Routes 7, 8, 9, 10, 11, 16, 17, 18 and 21, Pokémon Mansion (Kantonian Form)Evolve Rattata (Alolan Form)	Unobtainable	Unobtainable		Routes 225 and 226 (Kantonian Form)Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form)Unobtainable (Alolan Form)	Routes 225 and 226 (Kantonian Form)Grand Underground - Spacious Cave, Grassland Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern (After obtaining the National Pokédex) (Kantonian Form)Unobtainable (Alolan Form)	 Unobtainable	Unobtainable	Unobtainable
#0021	Spearow	normal	flying	['Keen Eye', 'Sniper']	40	60	30	31	31	70	Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23	Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23	Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23	 Routes 3, 4, 9, 16, 18, and 22	Routes 3, 4, 7, 9, 10, 22, 33, 42, and 46Routes 29, 30, 31, 32, 33, 42, 43, and 44 (Headbutt trees)Received from Randy on Route 35	Routes 3, 4, 7, 9, 10, 22, 33, 42, and 46Routes 29, 30, 31, 32, 33, 42, 43, and 44 (Headbutt trees)Received from Randy on Route 35	 Routes 3, 4, 7, 9, 10, 22, 33, 42, and 46MorningDayAzalea Town, Routes 33, 42, and 44 (Headbutt trees)Received from Randy on Route 35	Trade	Trade	 Trade	Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23, Treasure Beach, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Kindle Road	Routes 3, 4, 9, 10, 11, 16, 17, 18, 22, and 23, Treasure Beach, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Kindle Road	 Trade	 Phenac Stadium (Shadow)	Routes 225 and 226	Routes 225 and 226	 Route 225	Routes 3, 4, 7, 9, 10, 22, 33, 42, 46, and 47Safari ZoneMorningDay (tall grass in Wetland, default)Routes 7, 11, 16, 33, 42, 44, 45, and 46, Azalea Town, Vermilion City, Celadon City (Headbutt trees)Received from Webster on Route 35	Routes 3, 4, 7, 9, 10, 22, 33, 42, 46, and 47Safari ZoneMorningDay (tall grass in Wetland, default)Routes 7, 11, 16, 33, 42, 44, 45, and 46, Azalea Town, Vermilion City, Celadon City (Headbutt trees)Received from Webster on Route 35	 Field	Breed Fearow	Breed Fearow	Breed Fearow	Breed Fearow	Friend Safari (Flying)	Friend Safari (Flying)	Trade	Trade	Routes 2 and 3, Poké Pelago	Routes 2 and 3, Poké Pelago	Routes 2 and 3	Routes 2 and 3	Routes 3, 4, 9, 10, 22, and 23	Routes 3, 4, 9, 10, 22, and 23	Unobtainable	Unobtainable		Routes 225 and 226	Routes 225 and 226	 Unobtainable	Unobtainable	Unobtainable
#0022	Fearow	normal	flying	['Keen Eye', 'Sniper']	65	90	65	61	61	100	Routes 17, 18, and 23	Routes 17, 18, and 23	Routes 17, 18, and 23	 Routes 9, 16, 17, 18, and 23	Routes 9, 10, 16, 17, 18, and 22MorningDay	Routes 9, 10, 16, 17, 18, and 22MorningDay	 Routes 9, 10, 16, 17, 18, 22, and 42MorningDay	Trade	Trade	 Trade	Routes 17, 18, and 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Sevault Canyon	Routes 17, 18, and 23, Treasure Beach, Kindle Road, Mt. Ember, Cape Brink, Ruin Valley, Water Path, Canyon Entrance, Sevault Canyon	 Trade	 Evolve Spearow	Routes 225, 226, and 227, Stark Mountain	Routes 225, 226, and 227, Stark Mountain	 Routes 225, 226, and 227, Stark Mountain	Routes 9, 10, 16, 17, 18, 22, 47, and 48Safari Zone (Peak with 5 Forest points; Desert, defaultNight, with 6 Peak pointsNight, and with 3 Plains points; Wasteland, defaultNight)	Routes 9, 10, 16, 17, 18, 22, 47, and 48Safari Zone (Peak with 5 Forest points; Desert, defaultNight, with 6 Peak pointsNight, and with 3 Plains points; Wasteland, defaultNight)	 Field	Route 15	Route 15	Route 15 (Swarm)	Route 15 (Swarm)	Victory Road (flying shadow)	Victory Road (flying shadow)	Trade	Trade	Routes 10 and 17, Mount Hokulani, Poni Plains	Routes 10 and 17, Mount Hokulani, Poni Plains	Routes 10 and 17, Mount Hokulani, Poni Plains	Routes 10 and 17, Mount Hokulani, Poni Plains	Routes 3, 4, 9, 10, 22, and 23	Routes 3, 4, 9, 10, 22, and 23	Unobtainable	Unobtainable		Routes 225, 226, and 227, Stark Mountain	Routes 225, 226, and 227, Stark Mountain	 Unobtainable	Unobtainable	Unobtainable
#0023	Ekans	poison		['Intimidate', 'Shed Skin', 'Unnerve']	35	60	44	40	54	55	 Routes 4, 8, 9, 10, 11, and 23	 Trade	Trade	 Trade	 Goldenrod Game Corner	 Routes 3, 4, 32, and 33	 Routes 3, 4, 32, 33, and 42MorningDayRoutes 26, 27, 32, 33, and 42, Azalea Town (Headbutt trees)	Trade, Event	Trade, Event	 Trade, Event	 Routes 4, 8, 9, 10, 11, and 23	 Trade, Event	 Trade	 Trade	Route 212 (FireRed)	Route 212 (FireRed)	 Route 212 (FireRed)	 Goldenrod Game CornerSafari ZoneMorningDay (tall grass in Marshland, default)	 Routes 3, 4, 32, and 33Safari ZoneMorningDay (tall grass in Marshland, default)	 Forest	Poké Transfer	Poké Transfer	Poké Transfer	Poké Transfer	Route 14 (Horde Encounter)	Route 14 (Horde Encounter)	Trade	Trade	Trade	Trade	Route 2	Route 2	 Trade	 Routes 3 and 4	Unobtainable	Unobtainable		 Grand Underground - Grassland Cave, Swampy Cave, Riverbank Cave, Still-Water Cavern, Sunlit Cavern, Bogsunk Cavern (After obtaining the National Pokédex)	 Trade	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
#0024	Arbok	poison		['Intimidate', 'Shed Skin', 'Unnerve']	60	95	69	65	79	80	 Route 23 and Cerulean Cave	 Trade	Trade	 Trade	 Evolve Ekans	 Routes 3, 4, 26, and 27	 Routes 3, 4, 26, 27, 28, 42 and Mt. SilverMorningDay	Trade	Trade	 Trade	 Route 23 and Victory Road	 Trade	 Trade	 Cipher Key Lair (Shadow)	Great Marsh (FireRed)	Great Marsh (FireRed)	 Great Marsh (FireRed)	 Safari ZoneMorningDay (tall grass in Marshland, default)	 Routes 3, 4, 26, and 27Safari ZoneMorningDay (tall grass in Marshland, default)	 Forest	Poké Transfer	Poké Transfer	Poké Transfer	Poké Transfer	Route 19 (Horde Encounter)	Route 19 (Horde Encounter)	Trade	Trade	Trade	Trade	Evolve EkansTrade Trumbeak on Route 8	Evolve EkansTrade Trumbeak on Route 8	 Trade	 Evolve Ekans	Unobtainable	Unobtainable		 Evolve Ekans	 Trade	 Unobtainable	TradeVersion 2.0.1+	TradeVersion 2.0.1+
